Input,Output 1,Output 2
35.500000,dfb2dd46,5f32dd46
35.562500,dfb2d698,5f32d698
35.625000,dfb2d004,5f32d004
35.687500,dfb2c98a,5f32c98a
35.750000,dfb2c32a,5f32c32a
35.812500,dfb2bce4,5f32bce4
35.875000,dfb2b6b7,5f32b6b7
35.937500,dfb2b0a4,5f32b0a4
36.000000,dfb2aaab,5f32aaab
36.062500,dfb2a4ca,5f32a4ca
36.125000,dfb29f03,5f329f03
36.187500,dfb29955,5f329955
36.250000,dfb293c0,5f3293c0
36.312500,dfb28e43,5f328e43
36.375000,dfb288e0,5f3288e0
36.437500,dfb28395,5f328395
36.500000,dfb27e62,5f327e62
36.562500,dfb27948,5f327948
36.625000,dfb27446,5f327446
36.687500,dfb26f5d,5f326f5d
36.750000,dfb26a8c,5f326a8c
36.812500,dfb265d2,5f3265d2
36.875000,dfb26131,5f326131
36.937500,dfb25ca7,5f325ca7
37.000000,dfb25835,5f325835
37.062500,dfb253db,5f3253db
37.125000,dfb24f98,5f324f98
37.187500,dfb24b6d,5f324b6d
37.250000,dfb24759,5f324759
37.312500,dfb2435c,5f32435c
37.375000,dfb23f76,5f323f76
37.437500,dfb23ba7,5f323ba7
37.500000,dfb237f0,5f3237f0
37.562500,dfb2344f,5f32344f
37.625000,dfb230c4,5f3230c4
37.687500,dfb22d51,5f322d51
37.750000,dfb229f4,5f3229f4
37.812500,dfb226ad,5f3226ad
37.875000,dfb2237d,5f32237d
37.937500,dfb22063,5f322063
38.000000,dfb21d5f,5f321d5f
38.062500,dfb21a72,5f321a72
38.125000,dfb2179a,5f32179a
38.187500,dfb214d8,5f3214d8
38.250000,dfb2122c,5f32122c
38.312500,dfb20f96,5f320f96
38.375000,dfb20d15,5f320d15
38.437500,dfb20aaa,5f320aaa
38.500000,dfb20855,5f320855
38.562500,dfb20615,5f320615
38.625000,dfb203ea,5f3203ea
38.687500,dfb201d4,5f3201d4
38.750000,dfb1ffd3,5f31ffd3
38.812500,dfb1fde8,5f31fde8
38.875000,dfb1fc11,5f31fc11
38.937500,dfb1fa4f,5f31fa4f
39.000000,dfb1f8a2,5f31f8a2
39.062500,dfb1f70a,5f31f70a
39.125000,dfb1f587,5f31f587
39.187500,dfb1f417,5f31f417
39.250000,dfb1f2bd,5f31f2bd
39.312500,dfb1f177,5f31f177
39.375000,dfb1f045,5f31f045
39.437500,dfb1ef27,5f31ef27
39.500000,dfb1ee1d,5f31ee1d
39.562500,dfb1ed28,5f31ed28
39.625000,dfb1ec46,5f31ec46
39.687500,dfb1eb78,5f31eb78
39.750000,dfb1eabe,5f31eabe
39.812500,dfb1ea18,5f31ea18
39.875000,dfb1e985,5f31e985
39.937500,dfb1e907,5f31e907
40.000000,dfb1e89b,5f31e89b
40.062500,dfb1e843,5f31e843
40.125000,dfb1e7fe,5f31e7fe
40.187500,dfb1e7cd,5f31e7cd
40.250000,dfb1e7af,5f31e7af
40.312500,dfb1e7a4,5f31e7a4
40.375000,dfb1e7ac,5f31e7ac
40.437500,dfb1e7c7,5f31e7c7
40.500000,dfb1e7f5,5f31e7f5
40.562500,dfb1e835,5f31e835
40.625000,dfb1e889,5f31e889
40.687500,dfb1e8ef,5f31e8ef
40.750000,dfb1e968,5f31e968
40.812500,dfb1e9f3,5f31e9f3
40.875000,dfb1ea91,5f31ea91
40.937500,dfb1eb41,5f31eb41
41.000000,dfb1ec04,5f31ec04
41.062500,dfb1ecd9,5f31ecd9
41.125000,dfb1edc0,5f31edc0
41.187500,dfb1eeb9,5f31eeb9
41.250000,dfb1efc4,5f31efc4
41.312500,dfb1f0e1,5f31f0e1
41.375000,dfb1f210,5f31f210
41.437500,dfb1f351,5f31f351
41.500000,dfb1f4a4,5f31f4a4
41.562500,dfb1f608,5f31f608
41.625000,dfb1f77f,5f31f77f
41.687500,dfb1f906,5f31f906
41.750000,dfb1faa0,5f31faa0
41.812500,dfb1fc4a,5f31fc4a
41.875000,dfb1fe06,5f31fe06
41.937500,dfb1ffd4,5f31ffd4
42.000000,dfb201b3,5f3201b3
42.062500,dfb203a2,5f3203a2
42.125000,dfb205a3,5f3205a3
42.187500,dfb207b6,5f3207b6
42.250000,dfb209d9,5f3209d9
42.312500,dfb20c0d,5f320c0d
42.375000,dfb20e52,5f320e52
42.437500,dfb210a7,5f3210a7
42.500000,dfb2130e,5f32130e
42.562500,dfb21585,5f321585
42.625000,dfb2180d,5f32180d
42.687500,dfb21aa5,5f321aa5
42.750000,dfb21d4e,5f321d4e
42.812500,dfb22008,5f322008
42.875000,dfb222d1,5f3222d1
42.937500,dfb225ab,5f3225ab
43.000000,dfb22896,5f322896
43.062500,dfb22b90,5f322b90
43.125000,dfb22e9b,5f322e9b
43.187500,dfb231b6,5f3231b6
43.250000,dfb234e1,5f3234e1
43.312500,dfb2381c,5f32381c
43.375000,dfb23b67,5f323b67
43.437500,dfb23ec1,5f323ec1
43.500000,dfb2422c,5f32422c
43.562500,dfb245a6,5f3245a6
43.625000,dfb24930,5f324930
43.687500,dfb24cc9,5f324cc9
43.750000,dfb25073,5f325073
43.812500,dfb2542b,5f32542b
43.875000,dfb257f3,5f3257f3
43.937500,dfb25bcb,5f325bcb
44.000000,dfb25fb2,5f325fb2
44.062500,dfb263a8,5f3263a8
